;Year;variable;Ind_conditions;Mean_conditions;variable_name;variable_response;variable_category;variable_posneg;Pob_Nacional;Quintiles;Weight;PIB_change_Nacional;Predictions;PIB_percapita_Nacional;AgeNumeric;Ind_conditions_prop;Ind_condition_quint_prop;variable_renamed
0;2008;Vacaciones No;16190639.29792718;6.308505997427044;Vacaciones;No;Economía no básica;Negativo;46157822;1º - Inferior;8467074.99107732;5599.398495030321;7.041514444755755;24.017553690005396;48.68412258129198;0.35076696855252787;0.18343748955653325;Vacaciones No
1;2008;Vacaciones No;16190639.29792718;6.308505997427044;Vacaciones;No;Economía no básica;Negativo;46157822;2º;9042447.36704197;5979.900524297244;7.041514444755755;24.017553690005396;48.68412258129198;0.35076696855252787;0.19590281723089034;Vacaciones No
2;2008;Vacaciones No;16190639.29792718;6.308505997427044;Vacaciones;No;Economía no básica;Negativo;46157822;3º;9870798.482036652;6527.701032920134;7.041514444755755;24.017553690005396;48.68412258129198;0.35076696855252787;0.21384887878887898;Vacaciones No
3;2008;Vacaciones No;16190639.29792718;6.308505997427044;Vacaciones;No;Economía no básica;Negativo;46157822;4º;10055904.876448872;6650.114554400109;7.041514444755755;24.017553690005396;48.68412258129198;0.35076696855252787;0.21785917187446305;Vacaciones No
4;2008;Vacaciones No;16190639.29792718;6.308505997427044;Vacaciones;No;Economía no básica;Negativo;46157822;5º - Superior;8721596.283394122;5767.717087065287;7.041514444755755;24.017553690005396;48.68412258129198;0.35076696855252787;0.18895164254921132;Vacaciones No
5;2008;Vacaciones Sí;29967182.70205662;7.437543510651797;Vacaciones;Sí;Economía no básica;Positivo;46157822;1º - Inferior;8467074.99107732;5599.398495030321;7.041514444755755;24.017553690005396;48.68412258129198;0.6492330314471212;0.18343748955653325;Vacaciones Sí
6;2008;Vacaciones Sí;29967182.70205662;7.437543510651797;Vacaciones;Sí;Economía no básica;Positivo;46157822;2º;9042447.36704197;5979.900524297244;7.041514444755755;24.017553690005396;48.68412258129198;0.6492330314471212;0.19590281723089034;Vacaciones Sí
7;2008;Vacaciones Sí;29967182.70205662;7.437543510651797;Vacaciones;Sí;Economía no básica;Positivo;46157822;3º;9870798.482036652;6527.701032920134;7.041514444755755;24.017553690005396;48.68412258129198;0.6492330314471212;0.21384887878887898;Vacaciones Sí
8;2008;Vacaciones Sí;29967182.70205662;7.437543510651797;Vacaciones;Sí;Economía no básica;Positivo;46157822;4º;10055904.876448872;6650.114554400109;7.041514444755755;24.017553690005396;48.68412258129198;0.6492330314471212;0.21785917187446305;Vacaciones Sí
9;2008;Vacaciones Sí;29967182.70205662;7.437543510651797;Vacaciones;Sí;Economía no básica;Positivo;46157822;5º - Superior;8721596.283394122;5767.717087065287;7.041514444755755;24.017553690005396;48.68412258129198;0.6492330314471212;0.18895164254921132;Vacaciones Sí
10;2008;Alimentación No;899308.5661865567;5.702964860954438;Alimentación;No;Economía básica;Negativo;46157822;1º - Inferior;8467074.99107732;5599.398495030321;7.041514444755755;24.017553690005396;48.68412258129198;0.019483340574140535;0.18343748955653325;Alimentación No
11;2008;Alimentación No;899308.5661865567;5.702964860954438;Alimentación;No;Economía básica;Negativo;46157822;2º;9042447.36704197;5979.900524297244;7.041514444755755;24.017553690005396;48.68412258129198;0.019483340574140535;0.19590281723089034;Alimentación No
12;2008;Alimentación No;899308.5661865567;5.702964860954438;Alimentación;No;Economía básica;Negativo;46157822;3º;9870798.482036652;6527.701032920134;7.041514444755755;24.017553690005396;48.68412258129198;0.019483340574140535;0.21384887878887898;Alimentación No
13;2008;Alimentación No;899308.5661865567;5.702964860954438;Alimentación;No;Economía básica;Negativo;46157822;4º;10055904.876448872;6650.114554400109;7.041514444755755;24.017553690005396;48.68412258129198;0.019483340574140535;0.21785917187446305;Alimentación No
14;2008;Alimentación No;899308.5661865567;5.702964860954438;Alimentación;No;Economía básica;Negativo;46157822;5º - Superior;8721596.283394122;5767.717087065287;7.041514444755755;24.017553690005396;48.68412258129198;0.019483340574140535;0.18895164254921132;Alimentación No
15;2008;Alimentación Sí;45258513.433792725;7.068112072818343;Alimentación;Sí;Economía básica;Positivo;46157822;1º - Inferior;8467074.99107732;5599.398495030321;7.041514444755755;24.017553690005396;48.68412258129198;0.9805166594254107;0.18343748955653325;Alimentación Sí
16;2008;Alimentación Sí;45258513.433792725;7.068112072818343;Alimentación;Sí;Economía básica;Positivo;46157822;2º;9042447.36704197;5979.900524297244;7.041514444755755;24.017553690005396;48.68412258129198;0.9805166594254107;0.19590281723089034;Alimentación Sí
17;2008;Alimentación Sí;45258513.433792725;7.068112072818343;Alimentación;Sí;Economía básica;Positivo;46157822;3º;9870798.482036652;6527.701032920134;7.041514444755755;24.017553690005396;48.68412258129198;0.9805166594254107;0.21384887878887898;Alimentación Sí
18;2008;Alimentación Sí;45258513.433792725;7.068112072818343;Alimentación;Sí;Economía básica;Positivo;46157822;4º;10055904.876448872;6650.114554400109;7.041514444755755;24.017553690005396;48.68412258129198;0.9805166594254107;0.21785917187446305;Alimentación Sí
19;2008;Alimentación Sí;45258513.433792725;7.068112072818343;Alimentación;Sí;Economía básica;Positivo;46157822;5º - Superior;8721596.283394122;5767.717087065287;7.041514444755755;24.017553690005396;48.68412258129198;0.9805166594254107;0.18895164254921132;Alimentación Sí
20;2008;"""Colchón"" económico Sí";33808140.38611018;7.322309183974242;"""Colchón"" económico";Sí;Situación económica;Positivo;46157822;1º - Inferior;8467074.99107732;5599.398495030321;7.041514444755755;24.017553690005396;48.68412258129198;0.7324466129729903;0.18343748955653325;"""Colchón"" económico Sí"
21;2008;"""Colchón"" económico Sí";33808140.38611018;7.322309183974242;"""Colchón"" económico";Sí;Situación económica;Positivo;46157822;2º;9042447.36704197;5979.900524297244;7.041514444755755;24.017553690005396;48.68412258129198;0.7324466129729903;0.19590281723089034;"""Colchón"" económico Sí"
22;2008;"""Colchón"" económico Sí";33808140.38611018;7.322309183974242;"""Colchón"" económico";Sí;Situación económica;Positivo;46157822;3º;9870798.482036652;6527.701032920134;7.041514444755755;24.017553690005396;48.68412258129198;0.7324466129729903;0.21384887878887898;"""Colchón"" económico Sí"
23;2008;"""Colchón"" económico Sí";33808140.38611018;7.322309183974242;"""Colchón"" económico";Sí;Situación económica;Positivo;46157822;4º;10055904.876448872;6650.114554400109;7.041514444755755;24.017553690005396;48.68412258129198;0.7324466129729903;0.21785917187446305;"""Colchón"" económico Sí"
24;2008;"""Colchón"" económico Sí";33808140.38611018;7.322309183974242;"""Colchón"" económico";Sí;Situación económica;Positivo;46157822;5º - Superior;8721596.283394122;5767.717087065287;7.041514444755755;24.017553690005396;48.68412258129198;0.7324466129729903;0.18895164254921132;"""Colchón"" económico Sí"
