;Year;variable;Individuos;correlation_label;media_felicidad;Quintiles;Weight;PIB_percapita_Nacional;PIB_change_Nacional;Predictions;variable_name;variable_response;variable_category;variable_posneg
0;2008;Vacaciones No;16190639.29792718;-0.40;6.298086117023922;1º - Inferior;8536489.888981903;132913.14212047448;5645.303565585312;7.024947118029254;Vacaciones;No;Economía no básica;Economía no básica
1;2008;Vacaciones No;16190639.29792718;-0.40;6.298086117023922;2º;9091809.072218562;141559.46144887665;6012.544130025238;7.024947118029254;Vacaciones;No;Economía no básica;Economía no básica
2;2008;Vacaciones No;16190639.29792718;-0.40;6.298086117023922;3º;9920160.187213244;154456.8877804099;6560.344638648127;7.024947118029254;Vacaciones;No;Economía no básica;Economía no básica
3;2008;Vacaciones No;16190639.29792718;-0.40;6.298086117023922;4º;9878511.248470495;153808.41383077973;6532.801596315133;7.024947118029254;Vacaciones;No;Economía no básica;Economía no básica
4;2008;Vacaciones No;16190639.29792718;-0.40;6.298086117023922;5º - Superior;8730851.603114733;135939.35388541524;5773.837763139286;7.024947118029254;Vacaciones;No;Economía no básica;Economía no básica
5;2008;Vacaciones_Sí;29967182.70205662;0.40;7.417654847815209;1º - Inferior;8536489.888981903;132913.14212047448;5645.303565585312;7.024947118029254;Vacaciones;Sí;Economía no básica;Economía no básica
6;2008;Vacaciones_Sí;29967182.70205662;0.40;7.417654847815209;2º;9091809.072218562;141559.46144887665;6012.544130025238;7.024947118029254;Vacaciones;Sí;Economía no básica;Economía no básica
7;2008;Vacaciones_Sí;29967182.70205662;0.40;7.417654847815209;3º;9920160.187213244;154456.8877804099;6560.344638648127;7.024947118029254;Vacaciones;Sí;Economía no básica;Economía no básica
8;2008;Vacaciones_Sí;29967182.70205662;0.40;7.417654847815209;4º;9878511.248470495;153808.41383077973;6532.801596315133;7.024947118029254;Vacaciones;Sí;Economía no básica;Economía no básica
9;2008;Vacaciones_Sí;29967182.70205662;0.40;7.417654847815209;5º - Superior;8730851.603114733;135939.35388541524;5773.837763139286;7.024947118029254;Vacaciones;Sí;Economía no básica;Economía no básica
10;2008;Alimentación No;899308.5661865567;-0.16;5.697466110491377;1º - Inferior;8536489.888981903;132913.14212047448;5645.303565585312;7.024947118029254;Alimentación;No;Economía básica;Economía básica
11;2008;Alimentación No;899308.5661865567;-0.16;5.697466110491377;2º;9091809.072218562;141559.46144887665;6012.544130025238;7.024947118029254;Alimentación;No;Economía básica;Economía básica
