Year;condiciones;Ind_condiciones;Correlación;felicidad_condiciones;Quintiles;Individuos_quintiles;PIB_percapita_Nacional;PIB_change_Nacional;felicidad_año;condiciones_name;condiciones_response;condiciones_category;condiciones_posneg;condiciones_posneg13;Ind_posneg13;felicidad_posneg13;Ind_posneg;felicidad_posneg
2008;Vacaciones No;16190639.29792718;-0.40;6.303720541925113;1º - Inferior;8511809.036393607;132528.8612614344;5628.981762721315;7.0378376729941605;Vacaciones;No;Economía no básica;Negativo;Negativo;3073206.8767545237;6.275846570136702;3073206.8767545237;6.275846570136702
2008;Vacaciones No;16190639.29792718;-0.40;6.303720541925113;2º;9074840.986064108;141295.2683582866;6001.32289055624;7.0378376729941605;Vacaciones;No;Economía no básica;Negativo;Negativo;3073206.8767545237;6.275846570136702;3073206.8767545237;6.275846570136702
2008;Vacaciones No;16190639.29792718;-0.40;6.303720541925113;3º;9839947.416301282;153207.97498852958;6507.298779340138;7.0378376729941605;Vacaciones;No;Economía no básica;Negativo;Negativo;3073206.8767545237;6.275846570136702;3073206.8767545237;6.275846570136702
2008;Vacaciones No;16190639.29792718;-0.40;6.303720541925113;4º;10048192.11001503;156450.3447366804;6645.01399100511;7.0378376729941605;Vacaciones;No;Economía no básica;Negativo;Negativo;3073206.8767545237;6.275846570136702;3073206.8767545237;6.275846570136702
2008;Vacaciones No;16190639.29792718;-0.40;6.303720541925113;5º - Superior;8683032.45122491;135194.80972102506;5742.214270090292;7.0378376729941605;Vacaciones;No;Economía no básica;Negativo;Negativo;3073206.8767545237;6.275846570136702;3073206.8767545237;6.275846570136702
2008;Ordenador No;3311861.906693941;-0.18;6.336758154078824;1º - Inferior;8511809.036393607;132528.8612614344;5628.981762721315;7.0378376729941605;Ordenador;No;Economía no básica;Negativo;Negativo;3073206.8767545237;6.275846570136702;3073206.8767545237;6.275846570136702
2008;Ordenador No;3311861.906693941;-0.18;6.336758154078824;2º;9074840.986064108;141295.2683582866;6001.32289055624;7.0378376729941605;Ordenador;No;Economía no básica;Negativo;Negativo;3073206.8767545237;6.275846570136702;3073206.8767545237;6.275846570136702
2008;Ordenador No;3311861.906693941;-0.18;6.336758154078824;3º;9839947.416301282;153207.97498852958;6507.298779340138;7.0378376729941605;Ordenador;No;Economía no básica;Negativo;Negativo;3073206.8767545237;6.275846570136702;3073206.8767545237;6.275846570136702
2008;Ordenador No;3311861.906693941;-0.18;6.336758154078824;4º;10048192.11001503;156450.3447366804;6645.01399100511;7.0378376729941605;Ordenador;No;Economía no básica;Negativo;Negativo;3073206.8767545237;6.275846570136702;3073206.8767545237;6.275846570136702
2008;Ordenador No;3311861.906693941;-0.18;6.336758154078824;5º - Superior;8683032.45122491;135194.80972102506;5742.214270090292;7.0378376729941605;Ordenador;No;Economía no básica;Negativo;Negativo;3073206.8767545237;6.275846570136702;3073206.8767545237;6.275846570136702
2008;Coche No;2009946.9326605443;-0.16;6.1870610144061615;1º - Inferior;8511809.036393607;132528.8612614344;5628.981762721315;7.0378376729941605;Coche;No;Economía no básica;Negativo;Negativo;3073206.8767545237;6.275846570136702;3073206.8767545237;6.275846570136702
2008;Coche No;2009946.9326605443;-0.16;6.1870610144061615;2º;9074840.986064108;141295.2683582866;6001.32289055624;7.0378376729941605;Coche;No;Economía no básica;Negativo;Negativo;3073206.8767545237;6.275846570136702;3073206.8767545237;6.275846570136702
2008;Coche No;2009946.9326605443;-0.16;6.1870610144061615;3º;9839947.416301282;153207.97498852958;6507.298779340138;7.0378376729941605;Coche;No;Economía no básica;Negativo;Negativo;3073206.8767545237;6.275846570136702;3073206.8767545237;6.275846570136702
2008;Coche No;2009946.9326605443;-0.16;6.1870610144061615;4º;10048192.11001503;156450.3447366804;6645.01399100511;7.0378376729941605;Coche;No;Economía no básica;Negativo;Negativo;3073206.8767545237;6.275846570136702;3073206.8767545237;6.275846570136702
2008;Coche No;2009946.9326605443;-0.16;6.1870610144061615;5º - Superior;8683032.45122491;135194.80972102506;5742.214270090292;7.0378376729941605;Coche;No;Economía no básica;Negativo;Negativo;3073206.8767545237;6.275846570136702;3073206.8767545237;6.275846570136702
2008;Vacaciones_Sí;29967182.70205662;0.40;7.43446573742516;1º - Inferior;8511809.036393607;132528.8612614344;5628.981762721315;7.0378376729941605;Vacaciones;Sí;Economía no básica;Positivo;Positivo;13957242.50343877;7.274922149024948;13957242.50343877;7.274922149024948
2008;Vacaciones_Sí;29967182.70205662;0.40;7.43446573742516;2º;9074840.986064108;141295.2683582866;6001.32289055624;7.0378376729941605;Vacaciones;Sí;Economía no básica;Positivo;Positivo;13957242.50343877;7.274922149024948;13957242.50343877;7.274922149024948
2008;Vacaciones_Sí;29967182.70205662;0.40;7.43446573742516;3º;9839947.416301282;153207.97498852958;6507.298779340138;7.0378376729941605;Vacaciones;Sí;Economía no básica;Positivo;Positivo;13957242.50343877;7.274922149024948;13957242.50343877;7.274922149024948
2008;Vacaciones_Sí;29967182.70205662;0.40;7.43446573742516;4º;10048192.11001503;156450.3447366804;6645.01399100511;7.0378376729941605;Vacaciones;Sí;Economía no básica;Positivo;Positivo;13957242.50343877;7.274922149024948;13957242.50343877;7.274922149024948
